#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1944 06 27  4561  4561.5 1521  8  3.333  3.000  2.000  3.000  1.667  2.333  1.667  2.333   18   15    7   15    6    9    6    9    11  12     -1.0     -1.0 2
1944 06 28  4562  4562.5 1521  9  1.000  1.333  1.333  2.000  1.667  1.333  0.667  2.333    4    5    5    7    6    5    3    9     6  12     -1.0     -1.0 2
1944 06 29  4563  4563.5 1521 10  2.667  4.333  2.333  1.333  1.333  1.667  1.000  1.000   12   32    9    5    5    6    4    4    10   0     -1.0     -1.0 2
1944 06 30  4564  4564.5 1521 11  2.000  1.000  2.333  2.000  2.333  1.333  0.333  1.667    7    4    9    7    9    5    2    6     6   0     -1.0     -1.0 2
1944 07 01  4565  4565.5 1521 12  2.333  1.333  0.667  0.667  1.667  1.667  1.667  1.333    9    5    3    3    6    6    6    5     5   0     -1.0     -1.0 2
1944 07 02  4566  4566.5 1521 13  2.000  2.000  2.000  1.667  1.667  1.000  1.333  1.667    7    7    7    6    6    4    5    6     6  17     -1.0     -1.0 2
1944 07 03  4567  4567.5 1521 14  0.667  1.000  2.000  2.000  1.667  1.333  1.333  2.000    3    4    7    7    6    5    5    7     6  17     -1.0     -1.0 2
1944 07 04  4568  4568.5 1521 15  2.333  1.333  0.000  0.667  0.333  0.667  2.667  0.667    9    5    0    3    2    3   12    3     5  12     -1.0     -1.0 2
1944 07 05  4569  4569.5 1521 16  2.000  1.667  1.667  1.000  1.000  1.333  1.000  0.667    7    6    6    4    4    5    4    3     5  12     -1.0     -1.0 2
1944 07 06  4570  4570.5 1521 17  1.000  1.333  1.333  1.000  1.000  0.667  1.000  2.333    4    5    5    4    4    3    4    9     5  12     -1.0     -1.0 2
1944 07 07  4571  4571.5 1521 18  3.000  2.667  1.333  1.333  1.667  1.333  1.000  1.333   15   12    5    5    6    5    4    5     7   0     -1.0     -1.0 2
